# Correlation Matrix for Systematic Error Budget (10×10 Original Version with Covariant Crowding)
# Superseded by: correlation_matrix_updated.csv (9×9 matrix after removing covariant crowding term)
# Used for: Historical reference; sensitivity analysis with crowding covariance term included
# Note: Includes crowding-extinction (ρ=0.6) and metallicity-crowding (ρ=0.4) correlations
# Last updated: 2025-11-14 (v8.6H)
,Parallax Zero Point,Period Distribution,Metallicity Correcti,Crowding Direct,Crowding Covariant,Photometric Calibrat,Extinction Reddening,LMC Distance,NGC4258 Distance,SNe Ia Standardizati
Parallax Zero Point,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Period Distribution,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metallicity Correcti,0.0,0.3,1.0,0.0,0.4,0.0,0.4,0.0,0.0,0.2
Crowding Direct,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0
Crowding Covariant,0.0,0.0,0.4,0.6,1.0,0.0,0.5,0.0,0.0,0.0
Photometric Calibrat,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0
Extinction Reddening,0.0,0.0,0.4,0.0,0.5,0.2,1.0,0.0,0.0,0.15
LMC Distance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NGC4258 Distance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SNe Ia Standardizati,0.0,0.0,0.2,0.0,0.0,0.0,0.15,0.0,0.0,1.0
