correlation_pair,rho,sigma_sys_corr,hubble_tension_sigma
Period-Metallicity,0.0,1.6232683080747927,1.2231642444085011
Period-Metallicity,0.05,1.638596960817394,1.2146796087899798
Period-Metallicity,0.1,1.6537835408541228,1.2063691228148632
Period-Metallicity,0.15000000000000002,1.6688319268278635,1.1982269094026474
Period-Metallicity,0.2,1.6837458240482737,1.1902473654463828
Period-Metallicity,0.25,1.698528775146303,1.1824251456073787
Period-Metallicity,0.30000000000000004,1.7131841699011814,1.1747551472662525
Period-Metallicity,0.35000000000000003,1.7277152543170995,1.1672324965340561
Period-Metallicity,0.4,1.7421251390184345,1.159852535236346
Period-Metallicity,0.45,1.7564168070250297,1.1526108087912206
Period-Metallicity,0.5,1.7705931209625774,1.1455030549096585
Period-Metallicity,0.55,1.7846568297574747,1.1385251930530318
Period-Metallicity,0.6000000000000001,1.7986105748604948,1.13167331458856
Period-Metallicity,0.65,1.8124568960391858,1.1249436735887421
Period-Metallicity,0.7000000000000001,1.8261982367749676,1.1183326782255703
Period-Metallicity,0.75,1.83983694929741,1.111836882714609
Period-Metallicity,0.8,1.8533752992850638,1.1054529797678958
Metallicity-Crowding,0.0,1.695582495781317,1.1839772519508918
Metallicity-Crowding,0.05,1.7,1.1816513779733693
Metallicity-Crowding,0.1,1.704406054905931,1.1793391576082322
Metallicity-Crowding,0.15000000000000002,1.7088007490635062,1.1770404577911442
Metallicity-Crowding,0.2,1.7131841699011814,1.1747551472662525
Metallicity-Crowding,0.25,1.7175564037317668,1.1724830965547075
Metallicity-Crowding,0.30000000000000004,1.7219175357722565,1.1702241779238494
Metallicity-Crowding,0.35000000000000003,1.7262676501632068,1.1679782653570483
Metallicity-Crowding,0.4,1.730606829987678,1.1657452345241748
Metallicity-Crowding,0.45,1.7349351572897471,1.1635249627526918
Metallicity-Crowding,0.5,1.7392527130926085,1.1613173289993497
Metallicity-Crowding,0.55,1.7435595774162693,1.1591222138224673
Metallicity-Crowding,0.6000000000000001,1.7478558292948536,1.1569394993547903
Metallicity-Crowding,0.65,1.752141546793523,1.1547690692769093
Metallicity-Crowding,0.7000000000000001,1.7564168070250297,1.1526108087912206
Metallicity-Crowding,0.75,1.760681686165901,1.1504646045964266
Metallicity-Crowding,0.8,1.764936259472279,1.1483303448625501
Metallicity-Extinction,0.0,1.6688319268278635,1.1982269094026474
Metallicity-Extinction,0.05,1.676305461424021,1.194217143685877
Metallicity-Extinction,0.1,1.6837458240482737,1.1902473654463828
Metallicity-Extinction,0.15000000000000002,1.6911534525287764,1.186316914445782
Metallicity-Extinction,0.2,1.698528775146303,1.1824251456073787
Metallicity-Extinction,0.25,1.705872210923198,1.1785714285714297
Metallicity-Extinction,0.30000000000000004,1.7131841699011814,1.1747551472662525
Metallicity-Extinction,0.35000000000000003,1.7204650534085253,1.1709756994945126
Metallicity-Extinction,0.4,1.7277152543170995,1.1672324965340561
Metallicity-Extinction,0.45,1.7349351572897473,1.1635249627526918
Metallicity-Extinction,0.5,1.7421251390184345,1.159852535236346
Metallicity-Extinction,0.55,1.7492855684535902,1.156214663430047
Metallicity-Extinction,0.6000000000000001,1.7564168070250297,1.1526108087912206
Metallicity-Extinction,0.65,1.7635192088548397,1.1490404444547966
Metallicity-Extinction,0.7000000000000001,1.7705931209625774,1.1455030549096585
Metallicity-Extinction,0.75,1.7776388834631176,1.1419981356859816
Metallicity-Extinction,0.8,1.7846568297574747,1.1385251930530318
Crowding-Extinction,0.0,1.6867127793433,1.1886705022365347
Crowding-Extinction,0.05,1.6911534525287764,1.186316914445782
Crowding-Extinction,0.1,1.695582495781317,1.1839772519508918
Crowding-Extinction,0.15000000000000002,1.7,1.1816513779733693
Crowding-Extinction,0.2,1.704406054905931,1.1793391576082322
Crowding-Extinction,0.25,1.7088007490635062,1.1770404577911442
Crowding-Extinction,0.30000000000000004,1.7131841699011814,1.1747551472662525
Crowding-Extinction,0.35000000000000003,1.7175564037317668,1.1724830965547075
Crowding-Extinction,0.4,1.7219175357722565,1.1702241779238494
Crowding-Extinction,0.45,1.7262676501632068,1.1679782653570483
Crowding-Extinction,0.5,1.730606829987678,1.1657452345241748
Crowding-Extinction,0.55,1.7349351572897471,1.1635249627526918
Crowding-Extinction,0.6000000000000001,1.7392527130926085,1.1613173289993497
Crowding-Extinction,0.65,1.7435595774162693,1.1591222138224673
Crowding-Extinction,0.7000000000000001,1.7478558292948536,1.1569394993547903
Crowding-Extinction,0.75,1.752141546793523,1.1547690692769093
Crowding-Extinction,0.8,1.7564168070250297,1.1526108087912206
